Flow ID,System,Group,User,Flow name,Department,TOR Group,TOR,Remark,Team,ผู้ประสานงาน (ตรวจรับ),Phase,New Phase,Blocked,Blocked Date,Start Date,End Date,Lead Time,ประเมินสถานะ,Doing,Assignee,Requirement,Design: วันที่เริ่มทำ,Design: วันที่ Demo ผ่าน,Design: วันที่ลูกค้า Comfirm,Design,AC,API,FE/App,Testing,UAT,UAT Start Date,UAT Done Date,Blocked Issue,Service,Dependency Level,Parent flow ID,,🔢 Delivery Time,🔢 Card Info,🔢 Card Info (Design)
285,ระบบบริการสมาชิกผ่านมือถือ,Android,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถดูข้อมูลรายการทุนเรือนหุ้นได้ โดยแสดงข้อมูลดังนี้,ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.03,"สอบถามข้อมูลเพิ่มเติมเรื่อง API

- งวด
- จำนวนหุ้นเพิ่ม
- มูลค่าเพิ่ม
- วันที่ซื้อ",Mobile,,5,4.1,FALSE,12 ม.ค.,11 ส.ค. ,17 ส.ค. ,6,,,,Done,29 ก.ย. ,,9 ม.ค. ,Confirmed,Done,Done,,,,,,,,,,,143,"285 | Android

สมาชิกสหกรณ์สามารถดูข้อมูลรายการทุนเรือนหุ้นได้ โดยแสดงข้อมูลดังนี้","285 | ระบบบริการสมาชิกผ่านมือถือ | Android | ⏱  101

สมาชิกสหกรณ์สามารถดูข้อมูลรายการทุนเรือนหุ้นได้ โดยแสดงข้อมูลดังนี้"
285.01,ระบบบริการสมาชิกผ่านมือถือ,iOS,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถดูข้อมูลรายการทุนเรือนหุ้นได้ โดยแสดงข้อมูลดังนี้,ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.03,"สอบถามข้อมูลเพิ่มเติมเรื่อง API

- งวด
- จำนวนหุ้นเพิ่ม
- มูลค่าเพิ่ม
- วันที่ซื้อ",Mobile,,5,4.1,FALSE,12 ม.ค.,11 ส.ค. ,17 ส.ค. ,6,,,,Done,29 ก.ย. ,,9 ม.ค. ,Confirmed,Done,Done,,,,,,,,,,,143,"285.01 | iOS

สมาชิกสหกรณ์สามารถดูข้อมูลรายการทุนเรือนหุ้นได้ โดยแสดงข้อมูลดังนี้","285.01 | ระบบบริการสมาชิกผ่านมือถือ | iOS | ⏱  101

สมาชิกสหกรณ์สามารถดูข้อมูลรายการทุนเรือนหุ้นได้ โดยแสดงข้อมูลดังนี้"
286,ระบบบริการสมาชิกผ่านมือถือ,Android,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถใช้งานได้ทั้งระบบปฏิบัติการ iOS และ Android,ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.04,- Account Apple เหมือนยังไม่ได้จ่ายเงิน,Mobile,,5,4.1,FALSE,,18 ส.ค. ,24 ส.ค. ,6,,,,Done,30 ก.ย. ,,,Change,,,,,,,,,,,,,137,"286 | Android

สมาชิกสหกรณ์สามารถใช้งานได้ทั้งระบบปฏิบัติการ iOS และ Android","286 | ระบบบริการสมาชิกผ่านมือถือ | Android | ⏱  100

สมาชิกสหกรณ์สามารถใช้งานได้ทั้งระบบปฏิบัติการ iOS และ Android"
287,ระบบบริการสมาชิกผ่านมือถือ,iOS,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถใช้งานได้ทั้งระบบปฏิบัติการ iOS และ Android,ฝ่ายทะเบียนและสื่อสารองค์กร,17,17.04,- Account Apple เหมือนยังไม่ได้จ่ายเงิน,Mobile,,5,4.1,FALSE,,18 ส.ค. ,24 ส.ค. ,6,,,,Done,30 ก.ย. ,,,Change,,,,,,,,,,,,,137,"287 | iOS

สมาชิกสหกรณ์สามารถใช้งานได้ทั้งระบบปฏิบัติการ iOS และ Android","287 | ระบบบริการสมาชิกผ่านมือถือ | iOS | ⏱  100

สมาชิกสหกรณ์สามารถใช้งานได้ทั้งระบบปฏิบัติการ iOS และ Android"
287.01,ระบบบริการสมาชิกผ่านมือถือ,Android,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถดูยอดเรียกเก็บประจำเดือนได้,ฝ่ายทะเบียนและสื่อสารองค์กร,,,,Mobile,,5,4.1,FALSE,,,,,,,,Done,30 ก.ย. ,,,Change,,,,,,,,,,,,,,"287.01 | Android

สมาชิกสหกรณ์สามารถดูยอดเรียกเก็บประจำเดือนได้","287.01 | ระบบบริการสมาชิกผ่านมือถือ | Android | ⏱  100

สมาชิกสหกรณ์สามารถดูยอดเรียกเก็บประจำเดือนได้"
287.02,ระบบบริการสมาชิกผ่านมือถือ,iOS,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถดูยอดเรียกเก็บประจำเดือนได้,ฝ่ายทะเบียนและสื่อสารองค์กร,,,,Mobile,,5,4.1,FALSE,,,,,,,,Done,30 ก.ย. ,,,Change,,,,,,,,,,,,,,"287.02 | iOS

สมาชิกสหกรณ์สามารถดูยอดเรียกเก็บประจำเดือนได้","287.02 | ระบบบริการสมาชิกผ่านมือถือ | iOS | ⏱  100

สมาชิกสหกรณ์สามารถดูยอดเรียกเก็บประจำเดือนได้"
287.03,ระบบบริการสมาชิกผ่านมือถือ,Android,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถเข้าสู่หน้าหลัก และดูเมนูต่าง ๆ ได้,ฝ่ายทะเบียนและสื่อสารองค์กร,,,,,,,4.1,FALSE,,,,,,,,Done,30 ก.ย. ,,1 ธ.ค. ,Confirmed,Done,Done,Done,Done,,,,,,,,,,"287.03 | Android

สมาชิกสหกรณ์สามารถเข้าสู่หน้าหลัก และดูเมนูต่าง ๆ ได้","287.03 | ระบบบริการสมาชิกผ่านมือถือ | Android | ⏱  100

สมาชิกสหกรณ์สามารถเข้าสู่หน้าหลัก และดูเมนูต่าง ๆ ได้"
287.04,ระบบบริการสมาชิกผ่านมือถือ,iOS,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถเข้าสู่หน้าหลัก และดูเมนูต่าง ๆ ได้,ฝ่ายทะเบียนและสื่อสารองค์กร,,,,,,,4.1,FALSE,,,,,,,,Done,30 ก.ย. ,,1 ธ.ค. ,Confirmed,Done,Done,Done,Done,,,,,,,,,,"287.04 | iOS

สมาชิกสหกรณ์สามารถเข้าสู่หน้าหลัก และดูเมนูต่าง ๆ ได้","287.04 | ระบบบริการสมาชิกผ่านมือถือ | iOS | ⏱  100

สมาชิกสหกรณ์สามารถเข้าสู่หน้าหลัก และดูเมนูต่าง ๆ ได้"
288,ระบบ ATM Online,,สมาชิกสหกรณ์ทุกประเภท,,ฝ่ายเทคโนโลยี,18,18,หัวข้อ ไม่มี Flow,1,,4,หัวข้อ,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"288

",
289,ระบบ ATM Online,,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถทำรายการถอนเงินจากบัญชีสหกรณ์ออมทรัพย์เข้าบัญชีธนาคารได้,ฝ่ายเทคโนโลยี,18,18.01.01,ทำรายการกับธนาคารนอกด้วยใช่มั้ย,1,,4,5.2,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"289

สมาชิกสหกรณ์สามารถทำรายการถอนเงินจากบัญชีสหกรณ์ออมทรัพย์เข้าบัญชีธนาคารได้","289 | ระบบ ATM Online

สมาชิกสหกรณ์สามารถทำรายการถอนเงินจากบัญชีสหกรณ์ออมทรัพย์เข้าบัญชีธนาคารได้"
290,ระบบ ATM Online,,สมาชิกสหกรณ์ทุกประเภท,สมาชิกสหกรณ์สามารถทำรายการฝากเงินเข้าบัญชีสหกรณ์ออมทรัพย์จากบัญชีธนาคารได้,ฝ่ายเทคโนโลยี,18,18.01.02,ทำรายการกับธนาคารนอกด้วยใช่มั้ย,1,,4,5.2,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"290

สมาชิกสหกรณ์สามารถทำรายการฝากเงินเข้าบัญชีสหกรณ์ออมทรัพย์จากบัญชีธนาคารได้","290 | ระบบ ATM Online

สมาชิกสหกรณ์สามารถทำรายการฝากเงินเข้าบัญชีสหกรณ์ออมทรัพย์จากบัญชีธนาคารได้"
291,ระบบ ATM Online,,"เจ้าหน้าที่สหกรณ์ แอดมิน , ฝ่ายสินเชื่อ",เจ้าหน้าที่สหกรณ์ แอดมิน และฝ่ายสินเชื่อสามารถรับเงินกู้เข้าบัญชีธนาคารได้,ฝ่ายเทคโนโลยี,18,18.01.03,ทำรายการกับธนาคารนอกด้วยใช่มั้ย,1,,4,5.2,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"291

เจ้าหน้าที่สหกรณ์ แอดมิน และฝ่ายสินเชื่อสามารถรับเงินกู้เข้าบัญชีธนาคารได้","291 | ระบบ ATM Online

เจ้าหน้าที่สหกรณ์ แอดมิน และฝ่ายสินเชื่อสามารถรับเงินกู้เข้าบัญชีธนาคารได้"
292,ระบบ ATM Online,,"เจ้าหน้าที่สหกรณ์ แอดมิน , ฝ่ายสินเชื่อ",เจ้าหน้าที่สหกรณ์ แอดมิน และฝ่ายสินเชื่อสามารถกำหนด การเปิด-ปิด ระบบ ATM ได้,ฝ่ายเทคโนโลยี,18,18.01.04,,1,,4,5.2,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,"292

เจ้าหน้าที่สหกรณ์ แอดมิน และฝ่ายสินเชื่อสามารถกำหนด การเปิด-ปิด ระบบ ATM ได้","292 | ระบบ ATM Online

เจ้าหน้าที่สหกรณ์ แอดมิน และฝ่ายสินเชื่อสามารถกำหนด การเปิด-ปิด ระบบ ATM ได้"
